ID,Model,Rank
11,0,11
12,0,9
13,0,8
14,0,65
15,0,76
16,0,133
21,0,149
22,0,192
23,0,160
31,0,6
32,0,4
33,0,8
41,0,175
51,0,6
52,0,7
53,0,4
61,0,7
62,0,9
63,0,15
71,0,57
72,0,49
73,0,56
81,0,213
82,0,234
83,0,230
111,1,124
112,1,123
113,1,106
114,1,100
115,1,23
116,1,3
121,1,40
122,1,25
123,1,26
131,1,16
132,1,14
133,1,10
141,1,56
151,1,6
152,1,7
153,1,7
161,1,125
162,1,104
163,1,127
171,1,61
172,1,50
173,1,40
181,1,38
182,1,42
183,1,40
211,2,6
212,2,9
213,2,6
214,2,13
215,2,12
216,2,7
221,2,3
222,2,2
223,2,8
231,2,2
232,2,1
233,2,1
241,2,5
251,2,1
252,2,4
253,2,2
261,2,18
262,2,17
263,2,20
271,2,5
272,2,3
273,2,2
281,2,21
282,2,19
283,2,20
