ID,Length,Rank,Belief
0,0,108,0.015621
0,500,71,0.018629
0,1000,162,0.019184
0,1500,189,0.018922
0,2000,139,0.018342
0,2500,146,0.017914
0,3000,153,0.017024
0,3500,117,0.018371
0,4000,125,0.017909
0,4500,54,0.020859
0,5000,29,0.022436
0,5500,17,0.024401
0,6000,20,0.028243
0,6500,23,0.027775
0,7000,19,0.027330
0,7500,13,0.031332
0,8000,11,0.034897
0,8500,9,0.035086
0,9000,9,0.035026
0,9500,9,0.034913
0,10000,9,0.034820
0,10500,9,0.034725
0,11000,9,0.034698
0,11500,9,0.034686
0,12000,9,0.034644
0,12500,9,0.034527
0,13000,9,0.034239
0,13500,9,0.034225
0,14000,9,0.034201
0,14500,9,0.034091
0,15000,10,0.033954
1,0,108,0.013534
1,500,71,0.013450
1,1000,25,0.014291
1,1500,34,0.019262
1,2000,14,0.021872
1,2500,7,0.024941
1,3000,2,0.023742
1,3500,3,0.022458
1,4000,3,0.023191
1,4500,6,0.024485
1,5000,6,0.024343
1,5500,5,0.024463
1,6000,5,0.025010
1,6500,5,0.024798
1,7000,7,0.025959
1,7500,11,0.026991
1,8000,6,0.026832
1,8500,8,0.026568
1,9000,8,0.026509
1,9500,8,0.026471
1,10000,8,0.026437
1,10500,8,0.026428
1,11000,8,0.026395
1,11500,8,0.026375
1,12000,8,0.026315
1,12500,8,0.026297
1,13000,8,0.026257
1,13500,8,0.026185
1,14000,8,0.026171
1,14500,8,0.026162
1,15000,9,0.026131
1,15500,9,0.026050
1,16000,9,0.026586
1,16500,9,0.028229
1,17000,8,0.029795
1,17500,8,0.031261
1,18000,7,0.030964
1,18500,7,0.031257
1,19000,8,0.031688
1,19500,8,0.032986
2,0,129,0.004237
2,500,110,0.004484
2,1000,70,0.005381
2,1500,44,0.007324
2,2000,17,0.008304
2,2500,9,0.008198
2,3000,19,0.008703
2,3500,12,0.008792
2,4000,8,0.009483
2,4500,6,0.009872
2,5000,12,0.010776
2,5500,7,0.011668
2,6000,8,0.012542
2,6500,5,0.012783
2,7000,5,0.012742
2,7500,7,0.012589
2,8000,8,0.013476
2,8500,9,0.013595
2,9000,8,0.014198
2,9500,8,0.014153
2,10000,8,0.013983
2,10500,8,0.013876
2,11000,8,0.014510
2,11500,7,0.014702
2,12000,4,0.014515
2,12500,3,0.014332
2,13000,3,0.014487
2,13500,3,0.015297
2,14000,4,0.015796
2,14500,4,0.015908
2,15000,7,0.016285
2,15500,7,0.016156
2,16000,7,0.016132
3,0,150,0.005423
3,500,112,0.006059
3,1000,135,0.007241
3,1500,147,0.008379
3,2000,147,0.008359
3,2500,149,0.008392
3,3000,152,0.008311
3,3500,153,0.008305
3,4000,156,0.008108
3,4500,72,0.007206
3,5000,87,0.008539
3,5500,86,0.008180
3,6000,112,0.007988
3,6500,126,0.007454
3,7000,101,0.007599
3,7500,74,0.007692
3,8000,72,0.007948
3,8500,87,0.008787
3,9000,91,0.008576
3,9500,99,0.009497
3,10000,93,0.009749
3,10500,95,0.010047
3,11000,97,0.010298
3,11500,100,0.010057
3,12000,103,0.009702
3,12500,99,0.009561
3,13000,102,0.009372
3,13500,102,0.009366
3,14000,102,0.009337
3,14500,96,0.009711
3,15000,96,0.009623
3,15500,78,0.009375
3,16000,88,0.009407
3,16500,91,0.009977
3,17000,82,0.010072
3,17500,73,0.010108
3,18000,79,0.009824
3,18500,72,0.009702
3,19000,75,0.009611
3,19500,81,0.009432
3,20000,82,0.009319
3,20500,83,0.009291
3,21000,84,0.009369
3,21500,85,0.009346
3,22000,87,0.009089
3,22500,96,0.009479
3,23000,90,0.009202
3,23500,87,0.009341
3,24000,87,0.009329
3,24500,92,0.009564
3,25000,90,0.009562
3,25500,92,0.009473
3,26000,94,0.009576
3,26500,94,0.009701
3,27000,94,0.009693
3,27500,96,0.009907
3,28000,89,0.010024
3,28500,81,0.010155
3,29000,81,0.010133
3,29500,78,0.010032
3,30000,79,0.009969
3,30500,80,0.009916
3,31000,80,0.009889
3,31500,79,0.010197
3,32000,73,0.010396
3,32500,70,0.010336
3,33000,70,0.010330
3,33500,70,0.010291
3,34000,73,0.010456
3,34500,68,0.010592
3,35000,73,0.010858
3,35500,74,0.011115
3,36000,70,0.011032
3,36500,70,0.010976
3,37000,64,0.010752
3,37500,67,0.010980
3,38000,67,0.011149
3,38500,67,0.011136
3,39000,67,0.011104
3,39500,69,0.011049
3,40000,71,0.010995
3,40500,72,0.011129
3,41000,74,0.011270
3,41500,71,0.011320
3,42000,72,0.011263
3,42500,73,0.011244
3,43000,73,0.011215
3,43500,73,0.011172
3,44000,73,0.011162
3,44500,73,0.011122
3,45000,74,0.011281
3,45500,72,0.011425
3,46000,71,0.011797
3,46500,67,0.011721
3,47000,67,0.011660
4,0,60,0.004327
4,500,49,0.004578
4,1000,23,0.005461
4,1500,24,0.006525
4,2000,7,0.006613
4,2500,24,0.007318
4,3000,18,0.007015
4,3500,9,0.007432
4,4000,11,0.007607
4,4500,46,0.007411
4,5000,57,0.007469
4,5500,42,0.007457
4,6000,23,0.007843
4,6500,36,0.008168
4,7000,33,0.007944
4,7500,44,0.008192
4,8000,55,0.007944
4,8500,57,0.007903
4,9000,69,0.008220
4,9500,67,0.008181
4,10000,75,0.008159
4,10500,62,0.008351
4,11000,61,0.008537
4,11500,63,0.008672
4,12000,63,0.008614
4,12500,71,0.008826
4,13000,70,0.008887
4,13500,72,0.009051
4,14000,72,0.009053
4,14500,67,0.008956
4,15000,68,0.009218
4,15500,68,0.009365
4,16000,69,0.009296
4,16500,69,0.009279
4,17000,69,0.009383
4,17500,69,0.009363
4,18000,69,0.009349
4,18500,70,0.009563
4,19000,71,0.009608
4,19500,71,0.009637
4,20000,64,0.009634
4,20500,64,0.009716
4,21000,64,0.009695
4,21500,64,0.009643
4,22000,64,0.009569
4,22500,66,0.009662
4,23000,68,0.009585
4,23500,68,0.009789
4,24000,69,0.009914
4,24500,70,0.009981
4,25000,70,0.010027
4,25500,70,0.010071
4,26000,67,0.010272
4,26500,67,0.010225
4,27000,65,0.010286
4,27500,65,0.010261
4,28000,67,0.010394
4,28500,70,0.010515
4,29000,70,0.010516
4,29500,76,0.010560
5,0,166,0.005138
5,500,150,0.005428
5,1000,166,0.006039
5,1500,137,0.006655
5,2000,152,0.007237
5,2500,132,0.007441
5,3000,119,0.007916
5,3500,113,0.008203
5,4000,111,0.008620
5,4500,120,0.008722
5,5000,124,0.008420
5,5500,129,0.008247
5,6000,135,0.008117
5,6500,136,0.008320
5,7000,139,0.008358
5,7500,141,0.008602
5,8000,141,0.008675
5,8500,142,0.008723
5,9000,143,0.008837
5,9500,144,0.008803
5,10000,144,0.008901
5,10500,137,0.009296
5,11000,137,0.009170
5,11500,137,0.009100
5,12000,139,0.009170
5,12500,139,0.009183
5,13000,140,0.009450
5,13500,143,0.009454
5,14000,143,0.009334
5,14500,144,0.009162
5,15000,144,0.009427
5,15500,144,0.009397
5,16000,145,0.009585
5,16500,145,0.009397
5,17000,145,0.009709
5,17500,145,0.009677
5,18000,145,0.009617
5,18500,145,0.009783
5,19000,145,0.009809
5,19500,145,0.009774
5,20000,146,0.009714
5,20500,146,0.009986
5,21000,146,0.010170
5,21500,146,0.010163
5,22000,146,0.010465
5,22500,146,0.010624
5,23000,146,0.010619
5,23500,147,0.010531
5,24000,147,0.010561
5,24500,148,0.010432
5,25000,148,0.010416
5,25500,142,0.010338
5,26000,142,0.010616
5,26500,142,0.010833
5,27000,142,0.010780
5,27500,138,0.010688
5,28000,135,0.010561
5,28500,136,0.010501
5,29000,136,0.010379
5,29500,133,0.010632
5,30000,133,0.010819
5,30500,133,0.010711
5,31000,133,0.010816
5,31500,134,0.010772
5,32000,134,0.010869
5,32500,135,0.010971
5,33000,135,0.011114
5,33500,135,0.011046
5,34000,135,0.011133
5,34500,136,0.011114
5,35000,132,0.011054
5,35500,128,0.011146
5,36000,129,0.011281
5,36500,129,0.011376
5,37000,129,0.011451
5,37500,129,0.011356
5,38000,129,0.011298
5,38500,129,0.011190
5,39000,129,0.011296
5,39500,130,0.011250
5,40000,130,0.011345
5,40500,130,0.011626
5,41000,132,0.011588
5,41500,132,0.011681
5,42000,132,0.011763
5,42500,132,0.011723
5,43000,132,0.011799
5,43500,132,0.011882
5,44000,132,0.011846
5,44500,132,0.011922
5,45000,132,0.012015
5,45500,132,0.012155
6,0,264,0.004790
6,500,242,0.005161
6,1000,208,0.005704
6,1500,176,0.006503
6,2000,187,0.007081
6,2500,179,0.007488
6,3000,171,0.007610
6,3500,173,0.007339
6,4000,174,0.007294
6,4500,177,0.007492
6,5000,180,0.007810
6,5500,166,0.007860
6,6000,168,0.008459
6,6500,172,0.008250
6,7000,166,0.008126
6,7500,169,0.008058
6,8000,149,0.008136
6,8500,154,0.008329
6,9000,147,0.008545
6,9500,144,0.008196
6,10000,146,0.008195
6,10500,155,0.008248
6,11000,157,0.008207
6,11500,154,0.008497
6,12000,146,0.008424
6,12500,141,0.008613
6,13000,143,0.008553
6,13500,144,0.008588
6,14000,145,0.008462
6,14500,145,0.008482
6,15000,146,0.008748
6,15500,148,0.008757
6,16000,148,0.008686
7,0,264,0.004822
7,500,243,0.005198
7,1000,205,0.005781
7,1500,210,0.006129
7,2000,217,0.006440
7,2500,222,0.006679
7,3000,211,0.007004
7,3500,200,0.007290
7,4000,200,0.007359
7,4500,196,0.007689
7,5000,181,0.007564
7,5500,181,0.007935
7,6000,182,0.007973
7,6500,182,0.008155
7,7000,182,0.008141
7,7500,183,0.008199
7,8000,183,0.008199
7,8500,183,0.008175
7,9000,184,0.008279
7,9500,184,0.008261
7,10000,184,0.008684
7,10500,184,0.008681
7,11000,184,0.008651
7,11500,184,0.008717
