Timestamp,Please enter your Last.fm username,Think about the last few times you listened to music and tick the selection methods you used.,Please tick the devices you often use to listen to music,How much control do you like to have over the music you listen to?,"How much music do you have in your collection (in iTunes, MP3 player, Spotify etc)?",What best describes your music collection?,Can you remember the first album you bought?,Why did you make your last music purchase?,"Lyrics in music, which best describes you?"
25/06/2014 15:46:48,Spooning,"Specific album, Random/Shuffle, Specific artist","Computer - music store in the cloud, Stereo - MP3, In public - live","Sometimes I like to choose, sometimes Ill listen to radio or recommendations",Up to 125 albums or about 1250 MP3s,My music system organises my collection for me,"I can remember what it was, but not exactly when I bought it","I had to have it, I heard it and I just had to go and buy it",I have to know the lyrics because its central to understanding what the artist is trying to convey
26/06/2014 21:31:31,stelly,"Specific album, Specific artist, Someone I was with chose, Consecutive albums (no particular order)",Stereo - MP3,"Sometimes I like to choose, sometimes Ill listen to radio or recommendations",Up to 125 albums or about 1250 MP3s,My collection is broadly categorised by hand (e.g. genre or mood playlists/folders),"I can remember what it was, but not exactly when I bought it","I knew I would like it, because Ive built up a knowledge of what I like","With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
27/06/2014 13:47:32,jointheshaw,"Specific album, Someone I was with chose, Specific song, It was performed live at the time","Mobile MP3, Computer - own music, Stereo - MP3, In public - live, In public - recorded",I like to have full control over which album or song Im listening to,"Up to ~5000 albums or about 50,000 MP3s",My collection is broadly categorised by hand (e.g. genre or mood playlists/folders),"Yes, I can remember what it was and exactly when and where I bought it",Id heard a couple of the tracks I liked so bought it to see if the whole thing was good,"With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
19/08/2014 00:29:41,Davdruan,"Specific artist, Specific song, Website streaming","Mobile MP3, Mobile Phone","Sometimes I like to choose, sometimes Ill listen to radio or recommendations","Up to ~5000 albums or about 50,000 MP3s",My music system organises my collection for me,"Not off hand, I probably could if I thought about it",I cant remember,I like to know the lyrics so I can sing along
19/08/2014 00:53:47,psiaken,"Listened to the radio, I did not have any control, Specific song, Website streaming","Mobile Phone, Computer - own music",I like to have full control over which album or song Im listening to,"Up to ~5000 albums or about 50,000 MP3s",All my collection is organised by hand in a certain way,I have no idea,,"With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
19/08/2014 01:40:31,j11harms,"Specific album, Personal premade playlist, Specific artist","Mobile MP3, Mobile Phone, Computer - own music, Computer - streamed music, Computer - music store in the cloud, In public - live",I like to have full control over which album or song Im listening to,"Up to ~5000 albums or about 50,000 MP3s",All my collection is organised by hand in a certain way,"Not off hand, I probably could if I thought about it","I knew I would like it, because Ive built up a knowledge of what I like","With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
19/08/2014 02:09:53,d1zzydean,"Specific album, Specific song","Mobile Phone, Computer - own music, Stereo - CD",I like to have full control over which album or song Im listening to,"Up to ~5000 albums or about 50,000 MP3s",All my collection is organised by hand in a certain way,"Yes, I can remember what it was and exactly when and where I bought it","I knew I would like it, because Ive built up a knowledge of what I like",I have to know the lyrics because its central to understanding what the artist is trying to convey
19/08/2014 02:12:06,amayzes,"Specific album, Premade playlist - by someone else, Website streaming","Mobile Phone, Computer - streamed music","Sometimes I like to choose, sometimes Ill listen to radio or recommendations","Up to ~5000 albums or about 50,000 MP3s",I can never find anything when I want it!,I have no idea,"I had to have it, I heard it and I just had to go and buy it","With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
19/08/2014 02:56:06,For3st_Gosp3l,"Specific album, Random/Shuffle, Specific artist","Mobile MP3, Computer - own music, Computer - streamed music, Stereo - MP3, In public - live",I like to have full control over which album or song Im listening to,"More than 5000 albums or 50,000 MP3s",There is no specific organisation to my music collection,"Yes, I can remember what it was and exactly when and where I bought it","I had to have it, I heard it and I just had to go and buy it","With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
19/08/2014 03:30:22,rhinowing,"Listened to the radio, Specific album, Personal premade playlist, Specific artist, Someone I was with chose, Specific song, It was performed live at the time, Website streaming, Computer Recommendation","Mobile Phone, Computer - own music, Computer - streamed music, Radio, In public - live",I like to have full control over which album or song Im listening to,"Up to ~5000 albums or about 50,000 MP3s",All my collection is organised by hand in a certain way,"I can remember what it was, but not exactly when I bought it","I knew I would like it, because Ive built up a knowledge of what I like","With some of my favourite music I know the lyrics, but otherwise I dont really pay attention to the lyrics in songs"
