ID,Length,Rank,Belief
0,0,67,0.007178
0,500,42,0.007039
0,1000,69,0.007113
0,1500,51,0.007226
0,2000,54,0.007162
0,2500,59,0.007660
0,3000,76,0.008502
0,3500,131,0.007815
0,4000,81,0.007816
0,4500,20,0.007436
0,5000,9,0.007114
0,5500,13,0.007015
0,6000,10,0.007118
0,6500,5,0.006983
0,7000,5,0.007545
0,7500,5,0.007839
0,8000,4,0.008264
0,8500,4,0.008346
0,9000,4,0.008344
0,9500,4,0.008340
0,10000,5,0.008333
0,10500,5,0.008328
0,11000,5,0.008326
0,11500,5,0.008321
0,12000,5,0.008320
0,12500,5,0.008316
0,13000,5,0.008279
0,13500,5,0.008278
0,14000,5,0.008269
0,14500,5,0.008244
0,15000,5,0.008194
1,0,57,0.011236
1,500,32,0.010822
1,1000,61,0.010134
1,1500,24,0.011019
1,2000,29,0.012214
1,2500,21,0.012470
1,3000,22,0.012441
1,3500,16,0.012140
1,4000,18,0.011838
1,4500,17,0.011558
1,5000,17,0.011640
1,5500,14,0.011833
1,6000,14,0.012272
1,6500,16,0.012285
1,7000,27,0.012220
1,7500,18,0.012567
1,8000,13,0.012719
1,8500,11,0.012801
1,9000,11,0.012787
1,9500,11,0.012779
1,10000,11,0.012758
1,10500,11,0.012772
1,11000,11,0.012771
1,11500,11,0.012774
1,12000,11,0.012728
1,12500,11,0.012695
1,13000,11,0.012694
1,13500,11,0.012686
1,14000,11,0.012679
1,14500,11,0.012649
1,15000,11,0.012603
1,15500,11,0.012575
1,16000,10,0.012924
1,16500,10,0.012679
1,17000,10,0.012387
1,17500,9,0.012463
1,18000,9,0.012691
1,18500,8,0.012515
1,19000,8,0.012392
1,19500,8,0.012648
2,0,62,0.006153
2,500,77,0.006877
2,1000,48,0.006328
2,1500,41,0.006395
2,2000,24,0.006967
2,2500,15,0.007299
2,3000,14,0.007369
2,3500,14,0.007340
2,4000,19,0.007479
2,4500,13,0.007685
2,5000,9,0.007636
2,5500,9,0.007907
2,6000,9,0.008110
2,6500,9,0.008107
2,7000,9,0.008083
2,7500,7,0.008121
2,8000,7,0.008213
2,8500,6,0.008351
2,9000,6,0.008586
2,9500,6,0.008580
2,10000,6,0.008557
2,10500,6,0.008532
2,11000,6,0.008574
2,11500,6,0.008583
2,12000,4,0.008461
2,12500,5,0.008619
2,13000,6,0.008577
2,13500,6,0.008737
2,14000,6,0.008697
2,14500,5,0.008751
2,15000,5,0.009017
2,15500,5,0.009073
2,16000,5,0.009053
3,0,61,0.005543
3,500,109,0.005153
3,1000,25,0.006312
3,1500,33,0.006792
3,2000,7,0.006772
3,2500,8,0.006755
3,3000,8,0.006733
3,3500,8,0.006732
3,4000,9,0.006585
3,4500,9,0.006361
3,5000,13,0.005826
3,5500,15,0.006222
3,6000,17,0.005429
