11:00:39.945 AM	Condition	Participant	ID	TranscribedText	InputStream	PresentedText	WPM	DurationToFirstKey	DurationTyping	INF	C	F	IF	MSDER	TotalErrorRate	NotCorrectedErrorRate	CorrectedErrorRate	FirstKeyCorrect
11:01:23.716 AM	baseline_typing	1	travel at the speed of light	travel at the speed of light	trave4l atl at the speed of light	travel at the speed of light	80.5369127516779	1310	4321	0	28	5	5	0	15.1515151515152	0	15.1515151515152	1
11:01:31.597 AM	baseline_typing	1	two or three cups of coffee	two or three cups of coffee	two or three cups of coffee	two or three cups of coffee	132.963988919668	1342	2527	0	27	0	0	0	0	0	0	1
11:01:43.315 AM	baseline_typing	1	they love to yap about nothing	they love to yap about nothing	they love to yap abount t noghitnthing	they love to yap about nothing	62.753036437247	1779	5928	0	30	8	8	0	21.0526315789474	0	21.0526315789474	1
11:01:51.500 AM	baseline_typing	1	for your information only	for your information only	for your information only	for your information only	111.111111111111	1373	2808	0	25	0	0	0	0	0	0	1
11:02:01.334 AM	baseline_typing	1	only an idiot would lie in court	only an idiot would lie in court	only an idiot would lie in court	only an idiot would lie in court	121.472392638037	2559	3260	0	32	0	0	0	0	0	0	1
11:02:09.753 AM	baseline_typing	1	tell a lie and your nose will grow	tell a lie and your nose will grow	tell a lie and your nose will grow	tell a lie and your nose will grow	131.332082551595	1217	3198	0	34	0	0	0	0	0	0	1
11:02:16.787 AM	baseline_typing	1	Mary had a little lamb	Mary had a little lamb	Mary had a little lamb	Mary had a little lamb	148.626817447496	1170	1857	0	22	0	0	0	0	0	0	1
11:02:25.588 AM	baseline_typing	1	good jobs for those with education	good jobs for those with education	good jobs for those with education	good jobs for those with education	117.581187010078	1217	3572	0	34	0	0	0	0	0	0	1
11:02:33.103 AM	baseline_typing	1	my watch fell in the water	my watch fell in the water	my watch fell in the water	my watch fell in the water	133.995037220844	1092	2418	0	26	0	0	0	0	0	0	1
11:02:41.189 AM	baseline_typing	1	but the levee was dry	but the levee was dry	but the levee was dry	but the levee was dry	97.2733971997052	1373	2714	0	21	0	0	0	0	0	0	1
11:02:52.076 AM	baseline_typing	1	this equation is too complicated	this equation is too compplicated	this equation ius too s too compplicated	this equation is too complicated	74.2898761835397	1373	5492	1	32	7	7	3.03030303030303	20	2.5	17.5	1
11:03:00.593 AM	baseline_typing	1	the fire raged for an entire month	the fire raged for an entire month	the fire raged for an entire month	the fire raged for an entire month	128.834355828221	1248	3260	0	34	0	0	0	0	0	0	1
11:03:10.312 AM	baseline_typing	1	try to enjoy your maternity leave	try to enjoy your maternity leave	try to enjoy your jatmaternity leave	try to enjoy your maternity leave	93.4065934065934	1342	4368	0	33	3	3	0	8.33333333333333	0	8.33333333333333	1
11:03:18.930 AM	baseline_typing	1	the high waves will swamp us	the high waves will swamp us	the high waves will swamp us	the high waves will swamp us	112.07729468599	1513	3105	0	28	0	0	0	0	0	0	1
11:07:11.078 AM	no_blending_inferred	1	I hate baking pies	I hate baking pie	I hate baking pies	I hate baking pies	84.4079718640094	2870	2559	1	17	1	1	5.55555555555556	10.5263157894737	5.26315789473684	5.26315789473684	1
11:07:20.735 AM	no_blending_inferred	1	can I skate with sister today	can I skate with sister today	can I skate with sister today	can I skate with sister today	113.672245026839	2480	3167	0	29	0	0	0	0	0	0	1
11:07:31.883 AM	no_blending_inferred	1	my mother makes good cookies	my mother makes good cookies	my mother makes good cokiesokies	my mother makes good cookies	68.0085987883525	2028	5117	0	28	4	4	0	12.5	0	12.5	1
11:07:40.344 AM	no_blending_inferred	1	superman never wore a mask	superman never wore a mask	superman never wore a mask	superman never wore a mask	132.244897959184	1996	2450	0	26	0	0	0	0	0	0	1
11:07:49.375 AM	no_blending_inferred	1	can we play cards tonight	can we play cards tonight	can we play cards tonight	can we play cards tonight	102.564102564103	1981	3042	0	25	0	0	0	0	0	0	1
11:08:05.042 AM	no_blending_inferred	1	the sun rises in the east	the sun rises in the east	ythe sun rises in the easet	the sun rises in the east	53.1878622570747	5788	5866	0	25	3	2	0	7.40740740740741	0	7.40740740740741	0
11:08:15.980 AM	no_blending_inferred	1	I do not fully agree with you	I do not fully agree with you	I do not fully agree with you	I do not fully agree with you	108.335841107433	3603	3323	0	29	0	0	0	0	0	0	1
11:08:28.242 AM	no_blending_inferred	1	suburbs are sprawling up everywhere	suburbs are sprawling up everywhere	suburnsbs are sprawling up everywhere	suburbs are sprawling up everywhere	85.459940652819	3198	5055	0	35	2	2	0	5.40540540540541	0	5.40540540540541	1
11:08:37.925 AM	no_blending_inferred	1	the picket line gives me the chills	the picket line gives me the chills	the picket line gives me the chills	the picket line gives me the chills	118.323746918652	2028	3651	0	35	0	0	0	0	0	0	1
11:08:48.261 AM	no_blending_inferred	1	protect your environment	protect your environment	protect your envuironironment	protect your environment	71.4966634890372	2137	4196	0	24	5	5	0	17.2413793103448	0	17.2413793103448	1
11:08:57.000 AM	no_blending_inferred	1	fine but only in moderation	fine but only in moderation	fine but only in moderation	fine but only in moderation	111.627906976744	1732	3010	0	27	0	0	0	0	0	0	1
11:09:11.175 AM	no_blending_inferred	1	we are having spaghetti	we are having spaghetti	we are having spaghetti	we are having spaghetti	128.227960819234	7909	2246	0	23	0	0	0	0	0	0	1
11:09:22.297 AM	no_blending_inferred	1	space is a high priority	space is a high priority	soace uspace is a high priority	space is a high priority	55.2587953582612	1684	5429	0	24	7	7	0	22.5806451612903	0	22.5806451612903	1
11:09:30.056 AM	no_blending_inferred	1	dashing through the snow	dashing through the snow	dashing through the snow	dashing through the snow	142.450142450142	1654	2106	0	24	0	0	0	0	0	0	1
11:11:54.019 AM	full_blending_inferred	1	a duck quacks to ask for food	a duck quacks to ask for food	a duck quacks to ask for food	a duck quacks to ask for food	108.859993952223	1825	3307	0	29	0	0	0	0	0	0	1
